Node ID,Distance from beggining,Latitude,Longitude 
46920652,32214.408185,41.242949,1.867534
46920645,32775.673105,41.240548,1.861630
46920641,33898.424286,41.235980,1.849654
46920617,34624.222651,41.235849,1.840976
46920629,35227.722872,41.236066,1.833765
46920613,35770.544858,41.237693,1.827644
1422370776,36080.852201,41.237654,1.823934
1170456908,36393.356286,41.237427,1.820208
46920603,36509.474165,41.237452,1.818820
1422370788,36717.020060,41.237883,1.816405
420200118,37156.393727,41.238914,1.811332
46920597,37306.109742,41.239249,1.809598
420210359,37454.595545,41.239372,1.807830
374309863,37553.538107,41.239367,1.806647
374304785,37570.171939,41.239370,1.806448
374292155,37676.280210,41.239394,1.805179
46920581,37795.520366,41.239223,1.803771
374311239,37905.572421,41.238890,1.802532
374310349,38071.060183,41.238242,1.800750
374332822,38122.859326,41.238031,1.800198
46920591,38797.304865,41.235307,1.792991
663771881,38856.197961,41.234980,1.792438
663771880,38892.977971,41.234775,1.792092
46920574,39543.233281,41.231142,1.785999
420376551,39786.974966,41.229680,1.783827
420376552,39962.657181,41.228683,1.782197
46920562,40440.179699,41.225891,1.777858
420433401,40789.464792,41.223916,1.774611
46920551,40997.091362,41.222864,1.772560
420433399,41324.093343,41.221767,1.768932
504894368,41793.804402,41.220431,1.763605
504894355,41984.252518,41.220001,1.761400
46920545,42072.377002,41.219882,1.760359
1300507865,42147.697071,41.219844,1.759460
1300507870,42222.719519,41.219853,1.758563
504894339,42375.118036,41.219946,1.756745
504894340,42508.037322,41.220097,1.755168
46920537,42626.956277,41.220166,1.753750
504894329,42818.233514,41.219961,1.751479
336906614,43345.533739,41.218768,1.745377
1134704593,43488.805891,41.218627,1.743675
46920525,43595.567182,41.218657,1.742399
1134704682,43727.492479,41.218820,1.740836
634581243,43987.546952,41.219357,1.737810
46920511,44320.738481,41.220142,1.733966
633689808,44397.941725,41.220232,1.733050
632209935,44550.341783,41.220082,1.731239
939097568,45246.835507,41.217976,1.723397
46920492,45294.722305,41.217781,1.722886
634581141,45369.161258,41.217417,1.722139
634581137,45545.423835,41.216491,1.720429
634581113,45982.255313,41.213900,1.716503
46920484,46211.637663,41.212563,1.714415
634581072,46618.418015,41.210190,1.710714
46920461,46814.411297,41.209048,1.708929
634581068,46879.686108,41.208783,1.708233
1299717969,46939.209690,41.208559,1.707587
634581067,46999.455515,41.208380,1.706907
634581070,47097.890454,41.208207,1.705753
46920444,47569.673170,41.208249,1.700114
46920427,47761.034780,41.208273,1.697826
634581063,47919.865747,41.208169,1.695933
634581064,48089.788242,41.207934,1.693926
634581065,48241.157293,41.207701,1.692143
796751037,49119.124858,41.205472,1.682075
796751049,49192.169049,41.205292,1.681235
46920419,49673.006306,41.204130,1.675699
957147045,49933.750029,41.203460,1.672712
957147044,50052.669440,41.203158,1.671348
46920413,50912.458957,41.200984,1.661486
367656942,51702.372940,41.199010,1.652416
46920404,52229.646090,41.197692,1.646363
1489169407,52884.843013,41.195992,1.638865
1489169400,53242.075996,41.195177,1.634735
46920389,53468.455140,41.194785,1.632080
46920379,54757.424418,41.193440,1.616779
1066621412,55811.384734,41.192322,1.604271
46920376,56090.755362,41.191927,1.600974
46920344,57295.961183,41.190582,1.586682
540031213,58309.045689,41.189577,1.574649
540031211,58356.715306,41.189529,1.574083
46920333,58697.762945,41.189196,1.570031
540031157,59002.942165,41.188891,1.566407
540031155,59033.089062,41.188861,1.566048
46920324,59334.394857,41.188564,1.562469
46920312,60028.115124,41.188575,1.554179
46920307,60910.231014,41.188564,1.543638
46920293,61914.924398,41.186814,1.531859
619499719,62094.042383,41.186595,1.529738
892728793,62434.281891,41.186023,1.525744
46920282,62743.929297,41.185493,1.522112
619499715,62900.326208,41.184882,1.520428
619499713,63037.149061,41.184027,1.519253
619499710,63371.797966,41.181645,1.516808
46920276,63761.483436,41.179148,1.513540
46919904,64709.763383,41.176122,1.502948
46919896,65783.486723,41.172927,1.490841
46919508,66663.094547,41.170286,1.480936
46919499,67752.791914,41.166885,1.468726
795963086,69073.127788,41.163011,1.453817
795962816,69083.496940,41.162980,1.453699
46911473,69230.451304,41.162549,1.452040
1066621668,69451.909827,41.161700,1.449647
1066621666,69602.210298,41.161085,1.448048
46911470,69785.256397,41.160234,1.446176
46911466,70563.843546,41.156617,1.438213
46911457,71502.015221,41.152246,1.428629
46911448,72645.304502,41.146791,1.417054
46911442,73286.542670,41.143908,1.410422
271498120,73654.381920,41.142852,1.406259
46911440,73963.984331,41.142154,1.402680
46911436,75223.955517,41.139334,1.388108
1308922868,75643.293077,41.138305,1.383290
46911433,75921.896812,41.137728,1.380053
1208534753,76338.047666,41.136791,1.375242
1208534775,76374.508390,41.136725,1.374815
46911424,76501.099492,41.136562,1.373319
1208534862,76603.226209,41.136484,1.372104
1208534837,76659.660415,41.136467,1.371430
1208534866,76764.980388,41.136446,1.370173
46911418,76983.195764,41.136725,1.367594
46911408,77566.717158,41.137585,1.360720
46911399,78243.228931,41.138770,1.352797
1088337416,78298.447303,41.138854,1.352147
1088337462,78343.797435,41.138907,1.351610
1088337559,78439.555263,41.138934,1.350467
1088337543,78518.943775,41.138907,1.349520
1088337614,78599.647335,41.138815,1.348564
1088337394,78681.215913,41.138672,1.347608
46911392,78760.991298,41.138472,1.346693
46911385,78992.758345,41.137728,1.344108
46911378,79687.302234,41.135289,1.336473
46911324,80080.355870,41.133986,1.332111
46911319,80524.970561,41.132384,1.327246
1088337795,80705.225384,41.131867,1.325206
1088337670,80852.543389,41.131543,1.323501
46911310,80970.691227,41.131360,1.322111
46911201,81511.948242,41.130830,1.315687
46911193,82052.403546,41.130599,1.309241
46911185,82385.972734,41.130369,1.305271
46911175,82886.245091,41.129333,1.299458
408186712,83249.471386,41.127704,1.295699
46911169,83613.324141,41.126309,1.291770
46911161,83994.119384,41.124844,1.287660
46911154,84348.617940,41.123238,1.284005
46911148,84648.969056,41.122008,1.280812
822145092,84984.055320,41.120653,1.277239
46911143,84996.162716,41.120601,1.277112
46911136,85369.580147,41.119070,1.273144
46911128,85658.058673,41.117905,1.270067
46911123,85888.394140,41.116939,1.267635
46911118,86157.589252,41.115961,1.264696
46911111,86447.128345,41.114962,1.261504
46911105,86711.764085,41.113958,1.258639
1254685684,86909.443365,41.113056,1.256606
46911089,86984.511455,41.112714,1.255834
1030655370,87043.506415,41.112414,1.255253
912172872,87119.760491,41.112022,1.254506
1030655256,87154.008651,41.111843,1.254174
1030655380,87187.210695,41.111662,1.253858
46911086,87229.036734,41.111423,1.253473
46911097,87254.121533,41.111274,1.253248
912172977,87389.856617,41.110478,1.252020
912172948,87405.863784,41.110386,1.251873
1030655350,87429.981664,41.110247,1.251652
1030655266,87443.172335,41.110169,1.251533
954842742,87453.550513,41.110113,1.251434
954843584,87472.214961,41.110018,1.251251
1030655328,87487.676320,41.109943,1.251095
1030655241,87499.070547,41.109893,1.250976
954842869,87509.981106,41.109854,1.250856
1030655276,87524.708914,41.109805,1.250693
262160337,87538.734779,41.109763,1.250535
1030655376,87558.854905,41.109722,1.250301
954842818,87578.656573,41.109695,1.250068
1060085571,87595.330092,41.109690,1.249869
1030655264,87598.434411,41.109718,1.249872
995925810,87605.368154,41.109780,1.249880
995925537,87612.592995,41.109843,1.249903
995925456,87619.709139,41.109886,1.249965
995925700,87630.273048,41.109915,1.250085
819190327,87640.389165,41.109925,1.249965
995925791,87660.001747,41.109968,1.249738
819190504,87665.822411,41.109981,1.249671
819190280,87673.268355,41.110014,1.249594
819190457,87679.759303,41.110065,1.249556
819190474,87684.917435,41.110106,1.249527
819190406,87697.353437,41.110217,1.249546
891619038,87718.198016,41.110399,1.249607
819190392,87745.735694,41.110458,1.249288
819190459,87775.448226,41.110517,1.248942
819190364,87846.608653,41.110668,1.248117
819190346,87911.639371,41.110806,1.247363
819190350,87997.820848,41.110981,1.246360
819190437,88050.711144,41.111088,1.245745
819190412,88104.919114,41.111198,1.245115
819190361,88165.478548,41.111332,1.244414
819190264,88186.342200,41.111379,1.244173
819190484,88220.755143,41.111682,1.244258
333363327,88232.527106,41.111706,1.244121
819190447,88259.682501,41.111762,1.243806
333363326,88329.866741,41.111887,1.242985
332308109,88342.721693,41.111890,1.242831
332308214,88412.415726,41.112034,1.242021
819542805,88427.567859,41.112068,1.241847
819543012,88450.572483,41.112121,1.241581
819190464,88513.212563,41.112265,1.240858
1042837024,88539.942742,41.112322,1.240548
1042837210,88592.349462,41.112434,1.239941
332308681,88616.344031,41.112485,1.239662
332308682,88656.678486,41.112572,1.239195
1042836424,88679.195469,41.112616,1.238932
367091845,88690.188593,41.112659,1.238815
1002484432,88738.495850,41.113082,1.238684
332127854,89099.225809,41.116217,1.237575
408184949,89103.410090,41.116214,1.237525
408184948,89261.186708,41.116247,1.235642
332127855,89266.821485,41.116249,1.235575
333295739,89284.344237,41.116287,1.235372
332127473,89307.367141,41.116333,1.235104
963264759,89309.796437,41.116347,1.235081
963264679,89313.535945,41.116364,1.235043
332127355,89317.139678,41.116377,1.235003
963264313,89322.089770,41.116386,1.234946
332127356,89326.154533,41.116387,1.234897
963264774,89328.885288,41.116385,1.234865
963264375,89333.904837,41.116373,1.234807
332127357,89338.154513,41.116356,1.234761
963264023,89342.316650,41.116334,1.234721
963264436,89345.831271,41.116311,1.234692
332127347,89349.596966,41.116284,1.234665
963264803,89351.454046,41.116270,1.234654
963264393,89354.633472,41.116243,1.234639
963264040,89358.668097,41.116208,1.234626
332127469,89362.835936,41.116171,1.234621
963264452,89365.651976,41.116146,1.234623
963264118,89370.211003,41.116106,1.234633
963264332,89378.599193,41.116034,1.234603
963264702,89387.856695,41.115960,1.234551
963264069,89399.168139,41.115893,1.234450
963264422,89408.566112,41.115851,1.234353
963264009,89419.776098,41.115824,1.234224
963264359,89470.896090,41.115800,1.233614
963264742,89511.957740,41.115786,1.233124
963264646,89524.954566,41.115783,1.232969
408184939,89532.242541,41.115795,1.232884
826246112,89536.205719,41.115818,1.232848
408184940,89538.918283,41.115826,1.232818
826246117,89541.604894,41.115828,1.232786
408184941,89544.524656,41.115822,1.232752
826246124,89546.652576,41.115812,1.232730
408184942,89549.684602,41.115793,1.232704
826246130,89552.395269,41.115772,1.232689
276794471,89554.968956,41.115749,1.232683
1000894987,89577.510815,41.115730,1.232415
1000894757,89729.965621,41.115685,1.230596
408184934,89880.264136,41.115678,1.228802
333348964,89975.543315,41.115610,1.227668
1000894676,90070.505473,41.115586,1.226535
1000895145,90077.768257,41.115568,1.226451
1000895252,90112.520047,41.115554,1.226037
411830339,90134.742856,41.115545,1.225772
1000895523,90153.120720,41.115541,1.225553
999438016,90183.574836,41.115533,1.225189
1000894772,90232.012627,41.115515,1.224612
1000894774,90262.540607,41.115504,1.224247
1000894632,90309.539545,41.115477,1.223688
1000895486,90321.991116,41.115514,1.223548
1000894521,90330.629623,41.115508,1.223445
333299541,90406.528150,41.115462,1.222541
408184914,90446.957226,41.115449,1.222058
408184921,90490.767332,41.115436,1.221536
408184930,90510.607210,41.115430,1.221299
915389454,90651.247515,41.115414,1.219620
915552054,90712.586882,41.115387,1.218889
915552057,90805.634068,41.115355,1.217779
1031598819,90844.399499,41.115346,1.217317
1014860918,90881.740407,41.115338,1.216871
1029886904,91026.048592,41.115285,1.215150
915389448,91045.315361,41.115279,1.214920
1029886629,91068.056309,41.115271,1.214649
1029886681,91157.721644,41.115244,1.213579
1029886617,91196.765951,41.115232,1.213113
1029931428,91204.988069,41.115229,1.213015
1029931593,91230.844124,41.115222,1.212707
1029931567,91303.500736,41.115202,1.211840
918165032,91357.129559,41.115182,1.211200
997681199,91369.840424,41.115197,1.211050
997681655,91385.831452,41.115228,1.210863
997681465,91394.973220,41.115252,1.210759
918165062,91404.042544,41.115297,1.210668
996609249,91409.829400,41.115331,1.210617
996609475,91417.852661,41.115360,1.210528
918165030,91422.494406,41.115364,1.210473
996609434,91426.552055,41.115360,1.210425
996609556,91434.495301,41.115334,1.210337
918165039,91440.306025,41.115300,1.210284
918165056,91474.327917,41.115142,1.209937
996608976,91494.754712,41.115136,1.209693
1419321359,91597.651737,41.115105,1.208465
251718035,92192.377197,41.114927,1.201370
276790396,92724.864009,41.114767,1.195017
529091963,92766.822156,41.114873,1.194536
529091964,92780.762348,41.114952,1.194407
529091957,92799.267872,41.114931,1.194188
529091958,92812.660883,41.114834,1.194092
276790392,92856.927259,41.114757,1.193574
919768920,93570.631926,41.114510,1.185061
276791878,94663.951073,41.114131,1.172019
529091944,94836.252838,41.114072,1.169964
276794552,94957.707770,41.114030,1.168516
276792047,95342.441302,41.113905,1.163926
276790391,95792.570937,41.113768,1.158556
276790890,95833.203122,41.113828,1.158078
276790889,95855.574770,41.113958,1.157874
276790899,95872.497419,41.113991,1.157677
276790898,95896.241784,41.113997,1.157393
276790897,95916.255864,41.113921,1.157177
276790896,95929.974633,41.113821,1.157082
529091839,95947.264971,41.113740,1.156905
529091840,95992.938165,41.113693,1.156364
529091835,96017.968035,41.113760,1.156079
529091833,96037.260045,41.113587,1.156087
529091820,96053.499804,41.113472,1.155966
529091821,96071.860153,41.113436,1.155753
529091826,96091.328432,41.113524,1.155552
529091823,96112.075128,41.113338,1.155571
529091822,96179.996711,41.112795,1.155199
529091824,96218.279095,41.112479,1.155020
529091817,96258.407822,41.112128,1.154908
529091816,96384.557642,41.111003,1.154709
529091779,96415.386499,41.110729,1.154650
529091780,96446.083269,41.110463,1.154555
529091781,96474.640876,41.110231,1.154410
529091782,96503.700663,41.110012,1.154219
529091786,96530.408924,41.109837,1.154000
529091785,96538.962267,41.109806,1.153907
529091795,96547.654506,41.109791,1.153805
529091790,96556.090132,41.109806,1.153707
529091793,96564.383437,41.109772,1.153619
529091792,96575.909288,41.109672,1.153581
529091729,96586.964037,41.109591,1.153506
529091728,96600.027049,41.109515,1.153386
529091724,96727.219704,41.109107,1.151968
529686082,96825.282273,41.108792,1.150875
529091706,96890.435433,41.108582,1.150149
529091714,96963.085271,41.108362,1.149332
529091711,97013.415235,41.108587,1.148811
529091710,97031.918536,41.108583,1.148590
529091709,97044.057799,41.108502,1.148493
529686059,97066.678719,41.108332,1.148345
529091708,97095.901185,41.108112,1.148154
529091631,97147.821230,41.108111,1.147534
529091634,97166.141901,41.108165,1.147327
529091633,97178.484663,41.108223,1.147202
529091632,97187.809242,41.108187,1.147102
529091639,97192.880033,41.108146,1.147075
529091615,97214.049207,41.108035,1.146870
529414520,97251.350373,41.108032,1.146425
529414500,97418.141186,41.108020,1.144434
529414505,97436.339273,41.108019,1.144217
529414501,97445.337828,41.108018,1.144109
529414492,97473.037146,41.108016,1.143779
529414491,97527.723659,41.108012,1.143126
529414323,97664.636749,41.108002,1.141492
